query_id,verse_id,query,positive,query_language,positive_language
BG_5_4_en_sa,BG_5_4,"It is the ignorant, not the wise, who say that Sankhyayoga and Karmayoga lead to divergent results. For one who is firmly established in either gets the fruit of both",साङ्ख्ययोगौ पृथग्बालाः प्रवदन्ति न पण्डिताः |एकमप्यास्थितः सम्यगुभयोर्विन्दते फलम् |,english,sanskrit
BG_5_6_sa_en,BG_5_6,संन्यासस्तु महाबाहो दुःखमाप्तुमयोगतः |योगयुक्तो मुनिर्ब्रह्म नचिरेणाधिगच्छति |,"Without Karmayoga, however, Sankhyayogais difficult to accomplish; whereas the Karmayogi, who keeps his mind fixed on God, reaches Brahma in no time, Arjuna.",sanskrit,english
BG_5_6_en_sa,BG_5_6,"Without Karmayoga, however, Sankhyayogais difficult to accomplish; whereas the Karmayogi, who keeps his mind fixed on God, reaches Brahma in no time, Arjuna.",संन्यासस्तु महाबाहो दुःखमाप्तुमयोगतः |योगयुक्तो मुनिर्ब्रह्म नचिरेणाधिगच्छति |,english,sanskrit
BG_5_7_sa_en,BG_5_7,योगयुक्तो विशुद्धात्मा विजितात्मा जितेन्द्रियः |सर्वभूतात्मभूतात्मा कुर्वन्नपि न लिप्यते |,"The Karamayogi, who has fully conquered his mind and mastered his senses, whose heart is pure, and who has identified himself with the self of all beings, remains untainted, even though performing action.",sanskrit,english
BG_5_7_en_sa,BG_5_7,"The Karamayogi, who has fully conquered his mind and mastered his senses, whose heart is pure, and who has identified himself with the self of all beings, remains untainted, even though performing action.",योगयुक्तो विशुद्धात्मा विजितात्मा जितेन्द्रियः |सर्वभूतात्मभूतात्मा कुर्वन्नपि न लिप्यते |,english,sanskrit
BG_5_8_sa_en,BG_5_8,नैव किञ्चित्करोमीति युक्तो मन्येत तत्त्ववित् |पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन् |,"The Sankhyayogi, however, who knows the reality of things, must believe, even though seeing, hearing, touching, smelling, eating or drinking, walking, sleeping, breathing, that he does nothing.",sanskrit,english
BG_5_8_en_sa,BG_5_8,"The Sankhyayogi, however, who knows the reality of things, must believe, even though seeing, hearing, touching, smelling, eating or drinking, walking, sleeping, breathing, that he does nothing.",नैव किञ्चित्करोमीति युक्तो मन्येत तत्त्ववित् |पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन् |,english,sanskrit
BG_5_9_sa_en,BG_5_9,प्रलपन्विसृजन्गृह्णन्नुन्मिषन्निमिषन्नपि |इन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन् |,"Speaking, letting go, grasping, opening or closing the eyes — holding that it is only the senses moving among their objects, he believes that he does nothing.",sanskrit,english
BG_5_9_en_sa,BG_5_9,"Speaking, letting go, grasping, opening or closing the eyes — holding that it is only the senses moving among their objects, he believes that he does nothing.",प्रलपन्विसृजन्गृह्णन्नुन्मिषन्निमिषन्नपि |इन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन् |,english,sanskrit
BG_5_10_sa_en,BG_5_10,ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति यः |लिप्यते न स पापेन पद्मपत्रमिवाम्भसा |,"He who performs his duties, abandoning attachment and dedicating all actions to the Supreme, is not tainted by sin, just as a lotus leaf is untouched by water. He who acts offering all actions to God, and shaking off attachment, remains untouched by sin, as the lotus leaf by water.",sanskrit,english
BG_5_10_en_sa,BG_5_10,"He who performs his duties, abandoning attachment and dedicating all actions to the Supreme, is not tainted by sin, just as a lotus leaf is untouched by water. He who acts offering all actions to God, and shaking off attachment, remains untouched by sin, as the lotus leaf by water.",ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति यः |लिप्यते न स पापेन पद्मपत्रमिवाम्भसा |,english,sanskrit
BG_5_11_sa_en,BG_5_11,कायेन मनसा बुद्ध्या केवलैरिन्द्रियैरपि |योगिनः कर्म कुर्वन्ति सङ्गं त्यक्त्वात्मशुद्धये |,"The Karmayogis perform action only with their senses, mind, intellect and body as well, withdrawing the feeling of mine in respect of them and shaking off attachment simply for the sake of self-purification.",sanskrit,english
BG_5_11_en_sa,BG_5_11,"The Karmayogis perform action only with their senses, mind, intellect and body as well, withdrawing the feeling of mine in respect of them and shaking off attachment simply for the sake of self-purification.",कायेन मनसा बुद्ध्या केवलैरिन्द्रियैरपि |योगिनः कर्म कुर्वन्ति सङ्गं त्यक्त्वात्मशुद्धये |,english,sanskrit
BG_5_12_sa_en,BG_5_12,युक्तः कर्मफलं त्यक्त्वा शान्तिमाप्नोति नैष्ठिकीम् |अयुक्तः कामकारेण फले सक्तो निबध्यते |,"One who is devoted to the path of selfless action attains lasting peace; one who is attached to the fruits of actions is bound by them. Offering the fruit of actions to God, the Karmayogi attains everlasting peace in the shape of God-Realization; whereas he who works with a selfish motive, being attached to the fruit of action through desire, gets tied down.",sanskrit,english
BG_5_12_en_sa,BG_5_12,"One who is devoted to the path of selfless action attains lasting peace; one who is attached to the fruits of actions is bound by them. Offering the fruit of actions to God, the Karmayogi attains everlasting peace in the shape of God-Realization; whereas he who works with a selfish motive, being attached to the fruit of action through desire, gets tied down.",युक्तः कर्मफलं त्यक्त्वा शान्तिमाप्नोति नैष्ठिकीम् |अयुक्तः कामकारेण फले सक्तो निबध्यते |,english,sanskrit
BG_5_13_sa_en,BG_5_13,सर्वकर्माणि मनसा संन्यस्यास्ते सुखं वशी |नवद्वारे पुरे देही नैव कुर्वन्न कारयन् |,"The self-controlled Sankhyayoga, doing nothing himself and getting nothing done by others, rests happily in God, the embodiment, neither acting nor causing othersto act",sanskrit,english
BG_5_13_en_sa,BG_5_13,"The self-controlled Sankhyayoga, doing nothing himself and getting nothing done by others, rests happily in God, the embodiment, neither acting nor causing othersto act",सर्वकर्माणि मनसा संन्यस्यास्ते सुखं वशी |नवद्वारे पुरे देही नैव कुर्वन्न कारयन् |,english,sanskrit
BG_5_14_sa_en,BG_5_14,न कर्तृत्वं न कर्माणि लोकस्य सृजति प्रभुः |न कर्मफलसंयोगं स्वभावस्तु प्रवर्तते |,"God determines not the doership nor the doings of men, nor even their contact with the fruit of actions; but it is Nature alone that functions.",sanskrit,english
BG_5_14_en_sa,BG_5_14,"God determines not the doership nor the doings of men, nor even their contact with the fruit of actions; but it is Nature alone that functions.",न कर्तृत्वं न कर्माणि लोकस्य सृजति प्रभुः |न कर्मफलसंयोगं स्वभावस्तु प्रवर्तते |,english,sanskrit
BG_5_15_sa_en,BG_5_15,नादत्ते कस्यचित्पापं न चैव सुकृतं विभुः |अज्ञानेनावृतं ज्ञानं तेन मुह्यन्ति जन्तवः |,The omnipresent God does not receive the virtue or sin of anyone. Knowledge is enveloped in ignorance; hence it is that beings are constantly falling a prey to delusion.,sanskrit,english
BG_5_15_en_sa,BG_5_15,The omnipresent God does not receive the virtue or sin of anyone. Knowledge is enveloped in ignorance; hence it is that beings are constantly falling a prey to delusion.,नादत्ते कस्यचित्पापं न चैव सुकृतं विभुः |अज्ञानेनावृतं ज्ञानं तेन मुह्यन्ति जन्तवः |,english,sanskrit
BG_5_16_sa_en,BG_5_16,ज्ञानेन तु तदज्ञानं येषां नाशितमात्मनः |तेषामादित्यवज्ज्ञानं प्रकाशयति तत्परम् |,"In the case, however, to those whose said ignorance has been set aside by true Knowledge of god, that wisdom shining like the sun reveals the supreme.",sanskrit,english
BG_5_16_en_sa,BG_5_16,"In the case, however, to those whose said ignorance has been set aside by true Knowledge of god, that wisdom shining like the sun reveals the supreme.",ज्ञानेन तु तदज्ञानं येषां नाशितमात्मनः |तेषामादित्यवज्ज्ञानं प्रकाशयति तत्परम् |,english,sanskrit
BG_5_18_sa_en,BG_5_18,विद्याविनयसम्पन्ने ब्राह्मणे गवि हस्तिनि |शुनि चैव श्वपाके च पण्डिताः समदर्शिनः |,"The wise look with the same eye on a Brahmana endowed with learning and culture, a cow, an elephant, a dog, and a pariah too.",sanskrit,english
BG_5_18_en_sa,BG_5_18,"The wise look with the same eye on a Brahmana endowed with learning and culture, a cow, an elephant, a dog, and a pariah too.",विद्याविनयसम्पन्ने ब्राह्मणे गवि हस्तिनि |शुनि चैव श्वपाके च पण्डिताः समदर्शिनः |,english,sanskrit
BG_5_19_sa_en,BG_5_19,इहैव तैर्जितः सर्गो येषां साम्ये स्थितं मनः |निर्दोषं हि समं ब्रह्म तस्माद् ब्रह्मणि ते स्थिताः |,"Even here is the mortal plane conquered by those whose mind is established in unity; since the Absolute is untouched by evil and knows no distinction, hence they are established in the Eternal.",sanskrit,english
BG_5_19_en_sa,BG_5_19,"Even here is the mortal plane conquered by those whose mind is established in unity; since the Absolute is untouched by evil and knows no distinction, hence they are established in the Eternal.",इहैव तैर्जितः सर्गो येषां साम्ये स्थितं मनः |निर्दोषं हि समं ब्रह्म तस्माद् ब्रह्मणि ते स्थिताः |,english,sanskrit
BG_5_20_sa_en,BG_5_20,न प्रहृष्येत्प्रियं प्राप्य नोद्विजेत्प्राप्य चाप्रियम् |स्थिरबुद्धिरसम्मूढो ब्रह्मविद् ब्रह्मणि स्थितः |,"One who, having obtained the beloved, does not rejoice, and having obtained the unlovely, is not disturbed; that steady-minded, unbewildered knower of Brahman is ever established in the One Supreme Spirit.",sanskrit,english
BG_5_20_en_sa,BG_5_20,"One who, having obtained the beloved, does not rejoice, and having obtained the unlovely, is not disturbed; that steady-minded, unbewildered knower of Brahman is ever established in the One Supreme Spirit.",न प्रहृष्येत्प्रियं प्राप्य नोद्विजेत्प्राप्य चाप्रियम् |स्थिरबुद्धिरसम्मूढो ब्रह्मविद् ब्रह्मणि स्थितः |,english,sanskrit
BG_5_21_sa_en,BG_5_21,बाह्यस्पर्शेष्वसक्तात्मा विन्दत्यात्मनि यत्सुखम् |स ब्रह्मयोगयुक्तात्मा सुखमक्षयमश्नुते |,"He whose mind remains unattached to sense-objects, derives through meditation the Sattvika joy which dwells in the mind; then that Yogi, having completely identified himself through meditation with Brahma enjoys eternal Bliss.",sanskrit,english
BG_5_21_en_sa,BG_5_21,"He whose mind remains unattached to sense-objects, derives through meditation the Sattvika joy which dwells in the mind; then that Yogi, having completely identified himself through meditation with Brahma enjoys eternal Bliss.",बाह्यस्पर्शेष्वसक्तात्मा विन्दत्यात्मनि यत्सुखम् |स ब्रह्मयोगयुक्तात्मा सुखमक्षयमश्नुते |,english,sanskrit
BG_5_22_sa_en,BG_5_22,ये हि संस्पर्शजा भोगा दुःखयोनय एव ते |आद्यन्तवन्तः कौन्तेय न तेषु रमते बुधः |,"The pleasures which are born of sense-contacts are verily a source of suffering only. They have a beginning and an end. Arjuna, it is for this reason that a wise man does not indulge in them.",sanskrit,english
BG_5_22_en_sa,BG_5_22,"The pleasures which are born of sense-contacts are verily a source of suffering only. They have a beginning and an end. Arjuna, it is for this reason that a wise man does not indulge in them.",ये हि संस्पर्शजा भोगा दुःखयोनय एव ते |आद्यन्तवन्तः कौन्तेय न तेषु रमते बुधः |,english,sanskrit
BG_5_23_sa_en,BG_5_23,शक्नोतीहैव यः सोढुं प्राक्शरीरविमोक्षणात् |कामक्रोधोद्भवं वेगं स युक्तः स सुखी नरः |,"He who is able to endure the force of desire and anger born of the mind before the destruction of the body, he is a yogi and he is happy.",sanskrit,english
BG_5_23_en_sa,BG_5_23,"He who is able to endure the force of desire and anger born of the mind before the destruction of the body, he is a yogi and he is happy.",शक्नोतीहैव यः सोढुं प्राक्शरीरविमोक्षणात् |कामक्रोधोद्भवं वेगं स युक्तः स सुखी नरः |,english,sanskrit
BG_5_25_sa_en,BG_5_25,लभन्ते ब्रह्मनिर्वाणमृषयः क्षीणकल्मषाः |छिन्नद्वैधा यतात्मानः सर्वभूतहिते रताः |,"The seers whose sins have been wiped out, whose doubts have been dispelled by Knowledge, whose disciplined mind is firmly established in God and who are actively engaged in the service of all beings, attain Brahma, who is all peace.",sanskrit,english
BG_5_25_en_sa,BG_5_25,"The seers whose sins have been wiped out, whose doubts have been dispelled by Knowledge, whose disciplined mind is firmly established in God and who are actively engaged in the service of all beings, attain Brahma, who is all peace.",लभन्ते ब्रह्मनिर्वाणमृषयः क्षीणकल्मषाः |छिन्नद्वैधा यतात्मानः सर्वभूतहिते रताः |,english,sanskrit
BG_5_26_sa_en,BG_5_26,कामक्रोधवियुक्तानां यतीनां यतचेतसाम् |अभितो ब्रह्मनिर्वाणं वर्तते विदितात्मनाम् |,"To those wise men who are free from lust and anger, who have subdued their mind and have realized the Supreme Brahman, the all-pervading peaceful Supreme Brahman is present everywhere.",sanskrit,english
BG_5_26_en_sa,BG_5_26,"To those wise men who are free from lust and anger, who have subdued their mind and have realized the Supreme Brahman, the all-pervading peaceful Supreme Brahman is present everywhere.",कामक्रोधवियुक्तानां यतीनां यतचेतसाम् |अभितो ब्रह्मनिर्वाणं वर्तते विदितात्मनाम् |,english,sanskrit
BG_5_28_sa_en,BG_5_28,यतेन्द्रियमनोबुद्धिर्मुनिर्मोक्षपरायणः |विगतेच्छाभयक्रोधो यः सदा मुक्त एव सः |,"he who has brought his senses, mind and intellect under control, who is devoted to liberation, free from desire, fear and anger, he is always free.",sanskrit,english
BG_5_28_en_sa,BG_5_28,"he who has brought his senses, mind and intellect under control, who is devoted to liberation, free from desire, fear and anger, he is always free.",यतेन्द्रियमनोबुद्धिर्मुनिर्मोक्षपरायणः |विगतेच्छाभयक्रोधो यः सदा मुक्त एव सः |,english,sanskrit
BG_5_29_sa_en,BG_5_29,भोक्तारं यज्ञतपसां सर्वलोकमहेश्वरम् |सुहृदं सर्वभूतानां ज्ञात्वा मां शान्तिमृच्छति |,"Having Known Me in reality as the enjoyer of all sacrifices and austerities, the supreme Lord of all the worlds, and the disinterested friend of all beings, My devotee attains peace.",sanskrit,english
BG_5_29_en_sa,BG_5_29,"Having Known Me in reality as the enjoyer of all sacrifices and austerities, the supreme Lord of all the worlds, and the disinterested friend of all beings, My devotee attains peace.",भोक्तारं यज्ञतपसां सर्वलोकमहेश्वरम् |सुहृदं सर्वभूतानां ज्ञात्वा मां शान्तिमृच्छति |,english,sanskrit
BG_6_1_sa_en,BG_6_1,श्रीभगवानुवाच |अनाश्रितः कर्मफलं कार्यं कर्म करोति यः |स संन्यासी च योगी च न निरग्निर्न चाक्रियः |,"Shree Bhagavan said: he who does his duty without expecting the fruit of actions is a Samnyasiand a Yogiboth. He is no Samnyasiwho has merely renounced the sacred fire; even so he is no Yogi, who has merely given up all activity.",sanskrit,english
BG_6_1_en_sa,BG_6_1,"Shree Bhagavan said: he who does his duty without expecting the fruit of actions is a Samnyasiand a Yogiboth. He is no Samnyasiwho has merely renounced the sacred fire; even so he is no Yogi, who has merely given up all activity.",श्रीभगवानुवाच |अनाश्रितः कर्मफलं कार्यं कर्म करोति यः |स संन्यासी च योगी च न निरग्निर्न चाक्रियः |,english,sanskrit
BG_6_2_sa_en,BG_6_2,यं संन्यासमिति प्राहुर्योगं तं विद्धि पाण्डव |न ह्यसंन्यस्तसङ्कल्पो योगी भवति कश्चन |,"Arjuna, you must know that what they call Samnyasa is no other than Yoga; for none becomes a Yogi, who has not given up thoughts of the world.",sanskrit,english
BG_6_2_en_sa,BG_6_2,"Arjuna, you must know that what they call Samnyasa is no other than Yoga; for none becomes a Yogi, who has not given up thoughts of the world.",यं संन्यासमिति प्राहुर्योगं तं विद्धि पाण्डव |न ह्यसंन्यस्तसङ्कल्पो योगी भवति कश्चन |,english,sanskrit
BG_6_3_sa_en,BG_6_3,आरुरुक्षोर्मुनेर्योगं कर्म कारणमुच्यते |योगारूढस्य तस्यैव शमः कारणमुच्यते |,"To the contemplative soul who desires to ascend to Yoga, action is said to be the cause; to him who is attached to Yoga, peace is said to be the cause.",sanskrit,english
BG_6_3_en_sa,BG_6_3,"To the contemplative soul who desires to ascend to Yoga, action is said to be the cause; to him who is attached to Yoga, peace is said to be the cause.",आरुरुक्षोर्मुनेर्योगं कर्म कारणमुच्यते |योगारूढस्य तस्यैव शमः कारणमुच्यते |,english,sanskrit
BG_6_4_sa_en,BG_6_4,यदा हि नेन्द्रियार्थेषु न कर्मस्वनुषज्जते |सर्वसङ्कल्पसंन्यासी योगारूढस्तदोच्यते |,"When a man ceases to have any attachment either for the objects of senses or for actions, and has renounced all thoughts of the world, he is said to have climbed to the heights of Yoga.",sanskrit,english
BG_6_4_en_sa,BG_6_4,"When a man ceases to have any attachment either for the objects of senses or for actions, and has renounced all thoughts of the world, he is said to have climbed to the heights of Yoga.",यदा हि नेन्द्रियार्थेषु न कर्मस्वनुषज्जते |सर्वसङ्कल्पसंन्यासी योगारूढस्तदोच्यते |,english,sanskrit
BG_6_7_sa_en,BG_6_7,जितात्मनः प्रशान्तस्य परमात्मा समाहितः |शीतोष्णसुखदुःखेषु तथा मानापमानयोः |,"The Supreme Spirit is rooted in the knowledge of the self-controlled man whose mind is perfectly serene in the midst of pairs of opposites, such as cold and heat, joy and sorrow, and honour and ignominy.",sanskrit,english
BG_6_7_en_sa,BG_6_7,"The Supreme Spirit is rooted in the knowledge of the self-controlled man whose mind is perfectly serene in the midst of pairs of opposites, such as cold and heat, joy and sorrow, and honour and ignominy.",जितात्मनः प्रशान्तस्य परमात्मा समाहितः |शीतोष्णसुखदुःखेषु तथा मानापमानयोः |,english,sanskrit
BG_6_8_sa_en,BG_6_8,ज्ञानविज्ञानतृप्तात्मा कूटस्थो विजितेन्द्रियः |युक्त इत्युच्यते योगी समलोष्टाश्मकाञ्चनः |,"The Yogi whose heart is fully satisfied with both Jñanaand Vijñana, who is steady and free from delusion, who has mastered his senses, and to whom earth, stone, and gold are alike—such a Yogi is said to be united with God.",sanskrit,english
BG_6_8_en_sa,BG_6_8,"The Yogi whose heart is fully satisfied with both Jñanaand Vijñana, who is steady and free from delusion, who has mastered his senses, and to whom earth, stone, and gold are alike—such a Yogi is said to be united with God.",ज्ञानविज्ञानतृप्तात्मा कूटस्थो विजितेन्द्रियः |युक्त इत्युच्यते योगी समलोष्टाश्मकाञ्चनः |,english,sanskrit
BG_6_10_sa_en,BG_6_10,योगी युञ्जीत सततमात्मानं रहसि स्थितः |एकाकी यतचित्तात्मा निराशीरपरिग्रहः |,"Living in seclusion all by himself, the Yogi who has controlled his mind and body, and is free from desires and void of possessions, should constantly engage his mind in meditation.",sanskrit,english
BG_6_10_en_sa,BG_6_10,"Living in seclusion all by himself, the Yogi who has controlled his mind and body, and is free from desires and void of possessions, should constantly engage his mind in meditation.",योगी युञ्जीत सततमात्मानं रहसि स्थितः |एकाकी यतचित्तात्मा निराशीरपरिग्रहः |,english,sanskrit
BG_6_12_sa_en,BG_6_12,तत्रैकाग्रं मनः कृत्वा यतचित्तेन्द्रियक्रियः |उपविश्यासने युञ्ज्याद्योगमात्मविशुद्धये |,"And occupying that seat, concentrating the mind and controlling the functions of the mind and senses, he should practise Yoga for self-purification.",sanskrit,english
BG_6_12_en_sa,BG_6_12,"And occupying that seat, concentrating the mind and controlling the functions of the mind and senses, he should practise Yoga for self-purification.",तत्रैकाग्रं मनः कृत्वा यतचित्तेन्द्रियक्रियः |उपविश्यासने युञ्ज्याद्योगमात्मविशुद्धये |,english,sanskrit
BG_6_13_sa_en,BG_6_13,समं कायशिरोग्रीवं धारयन्नचलं स्थिरः |सम्प्रेक्ष्य नासिकाग्रं स्वं दिशश्चानवलोकयन् |,"Holding the trunk, head and neck straight and steady, remaining firm and fixing the gaze on the tip of his nose, without looking in other direction.",sanskrit,english
BG_6_13_en_sa,BG_6_13,"Holding the trunk, head and neck straight and steady, remaining firm and fixing the gaze on the tip of his nose, without looking in other direction.",समं कायशिरोग्रीवं धारयन्नचलं स्थिरः |सम्प्रेक्ष्य नासिकाग्रं स्वं दिशश्चानवलोकयन् |,english,sanskrit
BG_6_14_sa_en,BG_6_14,प्रशान्तात्मा विगतभीर्ब्रह्मचारिव्रते स्थितः |मनः संयम्य मच्चित्तो युक्त आसीत मत्परः |,"Firm in the vow of complete chastity and fearless, keeping himself perfectly calm and with the mind held in restraint and fixed on Me, the vigilant Yogi should sit absorbed in Me.",sanskrit,english
BG_6_14_en_sa,BG_6_14,"Firm in the vow of complete chastity and fearless, keeping himself perfectly calm and with the mind held in restraint and fixed on Me, the vigilant Yogi should sit absorbed in Me.",प्रशान्तात्मा विगतभीर्ब्रह्मचारिव्रते स्थितः |मनः संयम्य मच्चित्तो युक्त आसीत मत्परः |,english,sanskrit
BG_6_15_sa_en,BG_6_15,युञ्जन्नेवं सदात्मानं योगी नियतमानसः |शान्तिं निर्वाणपरमां मत्संस्थामधिगच्छति |,"Thus constantly applying his mind to Me, the Yogi of disciplined mind attains the everlasting peace, consisting of supreme bliss, which abides in Me.",sanskrit,english
BG_6_15_en_sa,BG_6_15,"Thus constantly applying his mind to Me, the Yogi of disciplined mind attains the everlasting peace, consisting of supreme bliss, which abides in Me.",युञ्जन्नेवं सदात्मानं योगी नियतमानसः |शान्तिं निर्वाणपरमां मत्संस्थामधिगच्छति |,english,sanskrit
BG_6_17_sa_en,BG_6_17,युक्ताहारविहारस्य युक्तचेष्टस्य कर्मसु |युक्तस्वप्नावबोधस्य योगो भवति दुःखहा |,"Yoga, which rids one of woe, is accomplished only by him who is regulated in diet and recreation, regulated in performing actions, and regulated in sleep and wakefulness.",sanskrit,english
BG_6_17_en_sa,BG_6_17,"Yoga, which rids one of woe, is accomplished only by him who is regulated in diet and recreation, regulated in performing actions, and regulated in sleep and wakefulness.",युक्ताहारविहारस्य युक्तचेष्टस्य कर्मसु |युक्तस्वप्नावबोधस्य योगो भवति दुःखहा |,english,sanskrit
BG_6_18_sa_en,BG_6_18,यदा विनियतं चित्तमात्मन्येवावतिष्ठते |निःस्पृहः सर्वकामेभ्यो युक्त इत्युच्यते तदा |,"When the mind which is thoroughly disciplined gets riveted on God alone, then the person who is free from yearning for all enjoyments is said to be established in Yoga.",sanskrit,english
BG_6_18_en_sa,BG_6_18,"When the mind which is thoroughly disciplined gets riveted on God alone, then the person who is free from yearning for all enjoyments is said to be established in Yoga.",यदा विनियतं चित्तमात्मन्येवावतिष्ठते |निःस्पृहः सर्वकामेभ्यो युक्त इत्युच्यते तदा |,english,sanskrit
BG_6_19_sa_en,BG_6_19,यथा दीपो निवातस्थो नेङ्गते सोपमा स्मृता |योगिनो यतचित्तस्य युञ्जतो योगमात्मनः |,"As a light does not flicker in a windless place, such is stated to be the picture of the disciplined mind of the Yogi practising meditation on God.",sanskrit,english
BG_6_19_en_sa,BG_6_19,"As a light does not flicker in a windless place, such is stated to be the picture of the disciplined mind of the Yogi practising meditation on God.",यथा दीपो निवातस्थो नेङ्गते सोपमा स्मृता |योगिनो यतचित्तस्य युञ्जतो योगमात्मनः |,english,sanskrit
BG_6_20_sa_en,BG_6_20,यत्रोपरमते चित्तं निरुद्धं योगसेवया |यत्र चैवात्मनात्मानं पश्यन्नात्मनि तुष्यति |,"When the mind which is thoroughly disciplined gets riveted on God alone, then the person who is free from yearning for all enjoyments is said to be established in Yoga.",sanskrit,english
BG_6_20_en_sa,BG_6_20,"When the mind which is thoroughly disciplined gets riveted on God alone, then the person who is free from yearning for all enjoyments is said to be established in Yoga.",यत्रोपरमते चित्तं निरुद्धं योगसेवया |यत्र चैवात्मनात्मानं पश्यन्नात्मनि तुष्यति |,english,sanskrit
BG_6_21_sa_en,BG_6_21,सुखमात्यन्तिकं यत्तद् बुद्धिग्राह्यमतीन्द्रियम् |वेत्ति यत्र न चैवायं स्थितश्चलति तत्त्वतः |,"Nay, in which the soul experience the eternal and supersensuous job which can be apprehended only through the subtle and purified intellect, and wherein established the said Yogi moves not from Truth on any account.",sanskrit,english
BG_6_21_en_sa,BG_6_21,"Nay, in which the soul experience the eternal and supersensuous job which can be apprehended only through the subtle and purified intellect, and wherein established the said Yogi moves not from Truth on any account.",सुखमात्यन्तिकं यत्तद् बुद्धिग्राह्यमतीन्द्रियम् |वेत्ति यत्र न चैवायं स्थितश्चलति तत्त्वतः |,english,sanskrit
BG_6_23_sa_en,BG_6_23,तं विद्याद् दुःखसंयोगवियोगं योगसंज्ञितम् |स निश्चयेन योक्तव्यो योगोऽनिर्विण्णचेतसा |,"That state, called Yoga, which is free from the contact of sorrow, should be known. Nay, this Yoga should be resolutely practiced with an unwearied mind.",sanskrit,english
BG_6_23_en_sa,BG_6_23,"That state, called Yoga, which is free from the contact of sorrow, should be known. Nay, this Yoga should be resolutely practiced with an unwearied mind.",तं विद्याद् दुःखसंयोगवियोगं योगसंज्ञितम् |स निश्चयेन योक्तव्यो योगोऽनिर्विण्णचेतसा |,english,sanskrit
BG_6_25_sa_en,BG_6_25,शनैः शनैरुपरमेद् बुद्ध्या धृतिगृहीतया |आत्मसंस्थं मनः कृत्वा न किञ्चिदपि चिन्तयेत् |,"Gradually, with the mind fixed on the Supreme, and with firm determination, one should not think of anything else.",sanskrit,english
BG_6_25_en_sa,BG_6_25,"Gradually, with the mind fixed on the Supreme, and with firm determination, one should not think of anything else.",शनैः शनैरुपरमेद् बुद्ध्या धृतिगृहीतया |आत्मसंस्थं मनः कृत्वा न किञ्चिदपि चिन्तयेत् |,english,sanskrit
BG_6_26_sa_en,BG_6_26,यतो यतो निश्चरति मनश्चञ्चलमस्थिरम् |ततस्ततो नियम्यैतदात्मन्येव वशं नयेत् |,"Drawing back the restless and fidgety mind from all those objects after which it runs, he should repeatedly fix it on God.",sanskrit,english
BG_6_26_en_sa,BG_6_26,"Drawing back the restless and fidgety mind from all those objects after which it runs, he should repeatedly fix it on God.",यतो यतो निश्चरति मनश्चञ्चलमस्थिरम् |ततस्ततो नियम्यैतदात्मन्येव वशं नयेत् |,english,sanskrit
BG_6_27_sa_en,BG_6_27,प्रशान्तमनसं ह्येनं योगिनं सुखमुत्तमम् |उपैति शान्तरजसं ब्रह्मभूतमकल्मषम् |,"Because the yogi whose mind is very peaceful, who is free from sin and whose passionis calmed, attains the highest happiness, the state of Brahman, free from all impurities.",sanskrit,english
BG_6_27_en_sa,BG_6_27,"Because the yogi whose mind is very peaceful, who is free from sin and whose passionis calmed, attains the highest happiness, the state of Brahman, free from all impurities.",प्रशान्तमनसं ह्येनं योगिनं सुखमुत्तमम् |उपैति शान्तरजसं ब्रह्मभूतमकल्मषम् |,english,sanskrit
BG_6_28_sa_en,BG_6_28,युञ्जन्नेवं सदात्मानं योगी विगतकल्मषः |सुखेन ब्रह्मसंस्पर्शमत्यन्तं सुखमश्नुते |,"The sinless Yogi, thus uniting his self constantly with God, easily enjoys the eternal Bliss of oneness with Brahma.",sanskrit,english
BG_6_28_en_sa,BG_6_28,"The sinless Yogi, thus uniting his self constantly with God, easily enjoys the eternal Bliss of oneness with Brahma.",युञ्जन्नेवं सदात्मानं योगी विगतकल्मषः |सुखेन ब्रह्मसंस्पर्शमत्यन्तं सुखमश्नुते |,english,sanskrit
BG_6_29_sa_en,BG_6_29,सर्वभूतस्थमात्मानं सर्वभूतानि चात्मनि |ईक्षते योगयुक्तात्मा सर्वत्र समदर्शनः |,"The Yogi who is united in identity with the all-pervading, infinite Consciousness; and sees unity everywhere, beholds the Self present in all beings, and all beings as assumed in the Self.",sanskrit,english
BG_6_29_en_sa,BG_6_29,"The Yogi who is united in identity with the all-pervading, infinite Consciousness; and sees unity everywhere, beholds the Self present in all beings, and all beings as assumed in the Self.",सर्वभूतस्थमात्मानं सर्वभूतानि चात्मनि |ईक्षते योगयुक्तात्मा सर्वत्र समदर्शनः |,english,sanskrit
BG_6_30_sa_en,BG_6_30,यो मां पश्यति सर्वत्र सर्वं च मयि पश्यति |तस्याहं न प्रणश्यामि स च मे न प्रणश्यति |,"He who sees Mepresent in all beings, and all beings existing within Me, never loses sight of Me, and I never lose sight of him.",sanskrit,english
